date;day_text;note
2018-01-05;;Fellowship enters Moria
2018-01-09;;Fellowship reaches Lorien
2018-01-17;;Passing of Gandalf
2018-02-07;;Fellowship leaves Lorien
2018-02-17;;Death of Boromir
2018-02-20;;Meriadoc \& Pippin meet Treebeard
2018-02-22;;Passing of King Ellesar
2018-02-24;;Ents destroy Isengard
2018-02-26;;Aragorn takes the Paths of the Dead
2018-03-05;;Frodo \& Samwise encounter Shelob
2018-03-08;;Deaths of Denethor \& Theoden
2018-03-18;;Destruction of the Ring
2018-03-29;;Flowering of the Mallorn
2018-04-04;;Gandalf visits Bilbo
2018-04-17;;An unexpected party
2018-04-23;;Crowning of King Ellesar
2018-05-19;;Arwen leaves Lorian to wed King Ellesar
2018-06-11;;Sauron attacks Osgilliath
2018-06-13;;Bilbo returns to Bag End
2018-06-23;;Wedding of Ellesar \& Arwen
2018-07-04;;Gandalf imprisoned by Saruman
2018-07-24;;The ring comes to Bilbo
2018-07-26;;Bilbo rescued from Wargs by Eagles
2018-08-03;;Funeral of King Theoden
2018-08-29;;Saruman enters the Shire
2018-09-10;G;Gandalf escapes from Orthanc
2018-09-14;F;Frodo \& Bilbo's birthday
2018-09-15;;Black riders enter the Shire
2018-09-18;;Frodo and company rescued by Bombadil
2018-09-28;W;Wraith attack, Frodo wounded at Weathertop
2018-10-05;F;Frodo crosses bridge of Mitheithel
2018-10-16;B;Boromir reaches Rivendell
2018-10-17;E;Council of Elrond
2018-10-25;;End of War of the Ring
2018-11-16;B;Bilbo reaches the Lonely Mountain
2018-12-05;S;Death of Smaug
2018-12-16;;Fellowship begins Quest
