date;day_text;note
2020-01-03;\FirstQuarter;
2020-01-10;\FullMoon;
2020-01-17;\LastQuarter;
2020-01-24;\NewMoon;
2020-02-02;\FirstQuarter;
2020-02-09;\FullMoon;
2020-02-15;\LastQuarter;
2020-02-23;\NewMoon;
2020-03-02;\FirstQuarter;
2020-03-09;\FullMoon;
2020-03-16;\LastQuarter;
2020-03-24;\NewMoon;
2020-04-01;\FirstQuarter;
2020-04-08;\FullMoon;
2020-04-15;\LastQuarter;
2020-04-23;\NewMoon;
2020-04-30;\FirstQuarter;
2020-05-07;\FullMoon;
2020-05-14;\LastQuarter;
2020-05-22;\NewMoon;
2020-05-30;\FirstQuarter;
2020-06-05;\FullMoon;
2020-06-13;\LastQuarter;
2020-06-21;\NewMoon;
2020-06-28;\FirstQuarter;
2020-07-05;\FullMoon;
2020-07-13;\LastQuarter;
2020-07-20;\NewMoon;
2020-07-27;\FirstQuarter;
2020-08-03;\FullMoon;
2020-08-11;\LastQuarter;
2020-08-19;\NewMoon;
2020-08-25;\FirstQuarter;
2020-09-02;\FullMoon;
2020-09-10;\LastQuarter;
2020-09-17;\NewMoon;
2020-09-24;\FirstQuarter;
2020-10-01;\FullMoon;
2020-10-10;\LastQuarter;
2020-10-16;\NewMoon;
2020-10-23;\FirstQuarter;
2020-10-31;\FullMoon;
2020-11-08;\LastQuarter;
2020-11-15;\NewMoon;
2020-11-22;\FirstQuarter;
2020-11-30;\FullMoon;
2020-12-08;\LastQuarter;
2020-12-14;\NewMoon;
2020-12-22;\FirstQuarter;
2020-12-30;\FullMoon;
